Name,Total invested,Current valuation,Net profit,Absolute profit,Total installments,Internal rate of return,SIP start date,SIP end date
Axis Short Term Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 414,317.95","₹ 84,317.95",25.55%,66,8.25%,02-02-2013,25-07-2018
Axis Strategic Bond Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 330,521.24",₹ 521.24,0.16%,66,0.06%,02-02-2013,25-07-2018
Axis Strategic Bond Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 427,984.76","₹ 97,984.76",29.69%,66,9.44%,02-02-2013,25-07-2018
Axis Strategic Bond Fund - Direct Plan - Debt - Income : Dividend-Half Yearly,"₹ 190,000.00","₹ 189,254.36",₹ -745.64,-0.39%,38,-0.25%,02-02-2013,25-07-2018
Axis Treasury Advantage Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 330,197.17",₹ 197.17,0.06%,66,0.02%,02-02-2013,25-07-2018
Axis Treasury Advantage Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 412,987.61","₹ 82,987.61",25.15%,66,8.14%,02-02-2013,25-07-2018
Axis Treasury Advantage Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 330,168.77",₹ 168.77,0.05%,66,0.02%,02-02-2013,25-07-2018
Axis Bluechip Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 546,341.32","₹ 216,341.32",65.56%,66,18.43%,02-02-2013,25-07-2018
Axis Bluechip Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 412,904.63","₹ 82,904.63",25.12%,66,8.13%,02-02-2013,25-07-2018
Axis Focused 25 Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 600,674.60","₹ 270,674.60",82.02%,66,21.96%,02-02-2013,25-07-2018
Axis Focused 25 Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 597,593.65","₹ 267,593.65",81.09%,66,21.77%,02-02-2013,25-07-2018
Axis Midcap Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 581,082.36","₹ 251,082.36",76.09%,66,20.72%,02-02-2013,25-07-2018
Axis Midcap Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 487,199.37","₹ 157,199.37",47.64%,66,14.19%,02-02-2013,25-07-2018
Axis Multicap Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 45,000.00","₹ 50,367.03","₹ 5,367.03",11.93%,9,33.33%,02-02-2013,25-07-2018
Axis Multicap Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 45,000.00","₹ 50,338.56","₹ 5,338.56",11.86%,9,33.14%,02-02-2013,25-07-2018
Axis Gold Fund - Direct Plan - Gold Fund : Growth,"₹ 330,000.00","₹ 333,456.03","₹ 3,456.03",1.05%,66,0.38%,02-02-2013,25-07-2018
Axis Gold Fund - Direct Plan - Gold Fund : Dividend,"₹ 330,000.00","₹ 333,768.31","₹ 3,768.31",1.14%,66,0.41%,02-02-2013,25-07-2018
Axis Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 578,157.51","₹ 248,157.51",75.20%,66,20.53%,02-02-2013,25-07-2018
Axis Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 602,867.64","₹ 272,867.64",82.69%,66,22.10%,02-02-2013,25-07-2018
Baroda Pioneer Banking and Financial Services Fund - Plan B - Direct Plan - Equity - Banking : Growth,"₹ 330,000.00","₹ 504,835.72","₹ 174,835.72",52.98%,66,15.50%,02-02-2013,25-07-2018
Baroda Pioneer Banking and Financial Services Fund - Plan B - Direct Plan - Equity - Banking : Dividend,"₹ 330,000.00","₹ 413,478.30","₹ 83,478.30",25.30%,66,8.18%,02-02-2013,25-07-2018
Baroda Pioneer Large Cap Fund - Plan B - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 424,342.79","₹ 94,342.79",28.59%,66,9.13%,02-02-2013,25-07-2018
Baroda Pioneer Large Cap Fund - Plan B - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 466,957.18","₹ 136,957.18",41.50%,66,12.63%,02-02-2013,25-07-2018
Baroda Pioneer Mid-Cap Fund - Plan B - Direct Plan - Equity - MidCap : Dividend,"₹ 255,000.00","₹ 299,778.88","₹ 44,778.88",17.56%,51,7.64%,02-02-2013,25-07-2018
Baroda Pioneer Mid-Cap Fund - Plan B - Direct Plan - Equity - MidCap : Growth,"₹ 330,000.00","₹ 421,958.91","₹ 91,958.91",27.87%,66,8.92%,02-02-2013,25-07-2018
Baroda Pioneer Multi Cap Fund - Plan B - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 474,089.88","₹ 144,089.88",43.66%,66,13.19%,02-02-2013,25-07-2018
Baroda Pioneer Multi Cap Fund - Plan B - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 348,122.41","₹ 18,122.41",5.49%,66,1.93%,02-02-2013,25-07-2018
Baroda Pioneer Conservative Hybrid Fund - Plan B - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 410,863.96","₹ 80,863.96",24.50%,66,7.95%,02-02-2013,25-07-2018
Baroda Pioneer Conservative Hybrid Fund - Plan B - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 240,000.00","₹ 241,712.01","₹ 1,712.01",0.71%,48,0.35%,02-02-2013,25-07-2018
Baroda Pioneer Conservative Hybrid Fund - Plan B - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 285,000.00","₹ 298,006.74","₹ 13,006.74",4.56%,57,1.71%,02-02-2013,25-07-2018
Baroda Pioneer Hybrid Equity Fund - Plan B - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 330,000.00","₹ 469,492.61","₹ 139,492.61",42.27%,66,12.83%,02-02-2013,25-07-2018
Baroda Pioneer Hybrid Equity Fund - Plan B - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 330,000.00","₹ 280,708.10","₹ -49,291.90",-14.94%,66,-5.83%,02-02-2013,25-07-2018
Baroda Pioneer Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 215,000.00","₹ 254,562.75","₹ 39,562.75",18.40%,43,9.52%,02-02-2013,25-07-2018
Baroda Pioneer Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 215,000.00","₹ 220,385.64","₹ 5,385.64",2.50%,43,1.37%,02-02-2013,25-07-2018
Baroda Pioneer Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Monthly,"₹ 215,000.00","₹ 222,472.84","₹ 7,472.84",3.48%,43,1.90%,02-02-2013,25-07-2018
Baroda Pioneer Dynamic Bond Fund - Plan B - Direct Plan - Debt - Dynamic Bond : Dividend,"₹ 330,000.00","₹ 367,352.92","₹ 37,352.92",11.32%,66,3.88%,02-02-2013,25-07-2018
Baroda Pioneer Dynamic Bond Fund - Plan B - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 418,204.00","₹ 88,204.00",26.73%,66,8.59%,02-02-2013,25-07-2018
Baroda Pioneer Gilt Fund - Plan B - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 402,699.44","₹ 72,699.44",22.03%,66,7.22%,02-02-2013,25-07-2018
Baroda Pioneer Gilt Fund - Plan B - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 330,000.00","₹ 389,058.24","₹ 59,058.24",17.90%,66,5.96%,02-02-2013,25-07-2018
Baroda Pioneer Income Fund - Plan B - Direct Plan - Debt - Income : Dividend,"₹ 150,000.00","₹ 144,882.49","₹ -5,117.51",-3.41%,30,-2.72%,02-02-2013,25-07-2018
Baroda Pioneer Income Fund - Plan B - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 398,220.26","₹ 68,220.26",20.67%,66,6.81%,02-02-2013,25-07-2018
Baroda Pioneer Liquid Fund - Plan B - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 408,789.93","₹ 78,789.93",23.88%,66,7.76%,02-02-2013,25-07-2018
Baroda Pioneer Short Term Bond Fund - Plan B - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 422,025.12","₹ 92,025.12",27.89%,66,8.93%,02-02-2013,25-07-2018
Baroda Pioneer Short Term Bond Fund - Plan B - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 331,076.59","₹ 1,076.59",0.33%,66,0.12%,02-02-2013,25-07-2018
Baroda Pioneer Short Term Bond Fund - Plan B - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 80,000.00","₹ 80,191.76",₹ 191.76,0.24%,16,0.35%,02-02-2013,25-07-2018
Baroda Pioneer Treasury Advantage Fund - Plan B - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 300,000.00","₹ 305,045.94","₹ 5,045.94",1.68%,60,0.66%,02-02-2013,25-07-2018
Baroda Pioneer Treasury Advantage Fund - Plan B - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 418,991.43","₹ 88,991.43",26.97%,66,8.66%,02-02-2013,25-07-2018
Baroda Pioneer Treasury Advantage Fund - Plan B - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 330,801.09",₹ 801.09,0.24%,66,0.09%,02-02-2013,25-07-2018
Baroda Pioneer ELSS 96 - Plan B - Direct Plan - Equity - Tax Planning : Growth,"₹ 205,000.00","₹ 243,218.06","₹ 38,218.06",18.64%,41,10.12%,02-02-2013,25-07-2018
Baroda Pioneer ELSS 96 - Plan B - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 389,975.75","₹ 59,975.75",18.17%,66,6.05%,02-02-2013,25-07-2018
BOI AXA Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 10,000.00","₹ 10,037.44",₹ 37.44,0.37%,2,4.81%,02-02-2013,25-07-2018
BOI AXA Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Annual,"₹ 10,000.00","₹ 10,037.44",₹ 37.44,0.37%,2,4.81%,02-02-2013,25-07-2018
BOI AXA Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 10,000.00","₹ 10,037.44",₹ 37.44,0.37%,2,4.81%,02-02-2013,25-07-2018
BOI AXA Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Quarterly,"₹ 10,000.00","₹ 10,037.44",₹ 37.44,0.37%,2,4.81%,02-02-2013,25-07-2018
BOI AXA Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 325,000.00","₹ 310,731.07","₹ -14,268.93",-4.39%,65,-1.65%,02-02-2013,25-07-2018
BOI AXA Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Annual,"₹ 135,000.00","₹ 142,176.87","₹ 7,176.87",5.32%,27,3.58%,02-02-2013,25-07-2018
BOI AXA Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 225,000.00","₹ 226,875.64","₹ 1,875.64",0.83%,45,0.44%,02-02-2013,25-07-2018
BOI AXA Conservative Hybrid Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 426,820.98","₹ 96,820.98",29.34%,66,9.34%,02-02-2013,25-07-2018
BOI AXA Equity Debt Rebalancer Fund - Direct Plan - Hybrid - Asset Allocation : Dividend,"₹ 265,000.00","₹ 272,069.74","₹ 7,069.74",2.67%,53,1.18%,02-02-2013,25-07-2018
BOI AXA Equity Debt Rebalancer Fund - Direct Plan - Hybrid - Asset Allocation : Growth,"₹ 265,000.00","₹ 317,004.29","₹ 52,004.29",19.62%,53,8.14%,02-02-2013,25-07-2018
BOI AXA Mid & Small Cap Equity & Debt Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 125,000.00","₹ 143,395.18","₹ 18,395.18",14.72%,25,13.56%,02-02-2013,25-07-2018
BOI AXA Mid & Small Cap Equity & Debt Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 125,000.00","₹ 131,387.22","₹ 6,387.22",5.11%,25,4.79%,02-02-2013,25-07-2018
BOI AXA Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 205,000.00","₹ 240,341.08","₹ 35,341.08",17.24%,41,9.40%,02-02-2013,25-07-2018
BOI AXA Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 408,227.11","₹ 78,227.11",23.71%,66,7.71%,02-02-2013,25-07-2018
BOI AXA Short Term Income Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 195,000.00","₹ 192,899.17","₹ -2,100.83",-1.08%,39,-0.56%,02-02-2013,25-07-2018
BOI AXA Short Term Income Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 419,351.00","₹ 89,351.00",27.08%,66,8.69%,02-02-2013,25-07-2018
BOI AXA Short Term Income Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 334,969.98","₹ 4,969.98",1.51%,66,0.54%,02-02-2013,25-07-2018
BOI AXA Ultra Short Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 418,683.23","₹ 88,683.23",26.87%,66,8.64%,02-02-2013,25-07-2018
BOI AXA Large & Mid Cap Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 364,667.34","₹ 34,667.34",10.51%,66,3.61%,02-02-2013,25-07-2018
BOI AXA Large & Mid Cap Equity Fund - Direct Plan - Equity - MultiCap : Dividend-Quarterly,"₹ 330,000.00","₹ 356,113.11","₹ 26,113.11",7.91%,66,2.75%,02-02-2013,25-07-2018
BOI AXA Large & Mid Cap Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 495,794.29","₹ 165,794.29",50.24%,66,14.84%,02-02-2013,25-07-2018
BOI AXA Manufacturing & Infrastructure Fund - Direct Plan - Equity - Infrastructure : Dividend,"₹ 280,000.00","₹ 377,091.78","₹ 97,091.78",34.68%,56,12.45%,02-02-2013,25-07-2018
BOI AXA Manufacturing & Infrastructure Fund - Direct Plan - Equity - Infrastructure : Dividend-Quarterly,"₹ 255,000.00","₹ 332,591.41","₹ 77,591.41",30.43%,51,12.64%,02-02-2013,25-07-2018
BOI AXA Manufacturing & Infrastructure Fund - Direct Plan - Equity - Infrastructure : Growth,"₹ 330,000.00","₹ 515,181.78","₹ 185,181.78",56.12%,66,16.25%,02-02-2013,25-07-2018
BOI AXA Tax Advantage Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 548,134.62","₹ 218,134.62",66.10%,66,18.55%,02-02-2013,25-07-2018
BOI AXA Tax Advantage Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 475,256.16","₹ 145,256.16",44.02%,66,13.28%,02-02-2013,25-07-2018
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend,"₹ 305,000.00","₹ 300,479.24","₹ -4,520.76",-1.48%,61,-0.58%,02-02-2013,25-07-2018
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 330,000.00","₹ 402,092.01","₹ 72,092.01",21.85%,66,7.16%,02-02-2013,25-07-2018
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Hybrid - Asset Allocation : Dividend,"₹ 330,000.00","₹ 404,570.60","₹ 74,570.60",22.60%,66,7.39%,02-02-2013,25-07-2018
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Hybrid - Asset Allocation : Growth,"₹ 330,000.00","₹ 462,283.14","₹ 132,283.14",40.09%,66,12.26%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 330,000.00","₹ 499,312.35","₹ 169,312.35",51.31%,66,15.10%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 330,000.00","₹ 422,354.50","₹ 92,354.50",27.99%,66,8.96%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 220,000.00","₹ 248,773.70","₹ 28,773.70",13.08%,44,6.73%,02-02-2013,25-07-2018
Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 220,000.00","₹ 262,183.28","₹ 42,183.28",19.17%,44,9.65%,02-02-2013,25-07-2018
Aditya Birla Sun Life Financial Planning FoF Aggressive Plan - Direct Plan - Hybrid - Others : Dividend,"₹ 330,000.00","₹ 472,258.94","₹ 142,258.94",43.11%,66,13.05%,02-02-2013,25-07-2018
Aditya Birla Sun Life Financial Planning FoF Aggressive Plan - Direct Plan - Hybrid - Others : Growth,"₹ 330,000.00","₹ 484,078.05","₹ 154,078.05",46.69%,66,13.95%,02-02-2013,25-07-2018
Aditya Birla Sun Life Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Aggressive : Dividend-Monthly,"₹ 330,000.00","₹ 449,777.23","₹ 119,777.23",36.30%,66,11.26%,02-02-2013,25-07-2018
Aditya Birla Sun Life Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Aggressive : Growth,"₹ 330,000.00","₹ 463,678.62","₹ 133,678.62",40.51%,66,12.37%,02-02-2013,25-07-2018
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend,"₹ 330,000.00","₹ 389,489.25","₹ 59,489.25",18.03%,66,6.00%,02-02-2013,25-07-2018
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 418,743.29","₹ 88,743.29",26.89%,66,8.64%,02-02-2013,25-07-2018
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 330,000.00","₹ 336,158.29","₹ 6,158.29",1.87%,66,0.67%,02-02-2013,25-07-2018
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 328,244.05","₹ -1,755.95",-0.53%,66,-0.19%,02-02-2013,25-07-2018
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 413,100.71","₹ 83,100.71",25.18%,66,8.15%,02-02-2013,25-07-2018
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 322,940.32","₹ -7,059.68",-2.14%,66,-0.78%,02-02-2013,25-07-2018
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend,"₹ 200,000.00","₹ 206,297.63","₹ 6,297.63",3.15%,40,1.85%,02-02-2013,25-07-2018
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 200,000.00","₹ 232,964.22","₹ 32,964.22",16.48%,40,9.25%,02-02-2013,25-07-2018
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Monthly,"₹ 330,000.00","₹ 326,761.94","₹ -3,238.06",-0.98%,66,-0.36%,02-02-2013,25-07-2018
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 408,045.47","₹ 78,045.47",23.65%,66,7.70%,02-02-2013,25-07-2018
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 330,000.00","₹ 305,624.91","₹ -24,375.09",-7.39%,66,-2.77%,02-02-2013,25-07-2018
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend,"₹ 215,000.00","₹ 218,482.44","₹ 3,482.44",1.62%,43,0.89%,02-02-2013,25-07-2018
Aditya Birla Sun Life Floating Rate Fund - Long Term Plan - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 416,263.21","₹ 86,263.21",26.14%,66,8.43%,02-02-2013,25-07-2018
Aditya Birla Sun Life Government Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 422,262.79","₹ 92,262.79",27.96%,66,8.95%,02-02-2013,25-07-2018
